,title,type,episodes,score,members,favorites,genre,studio,rating,demographic,theme,popularity,source,rank
722,Golden Kamuy OVA,OVA,1,7.21,"19,338",9,Action,Geno Studio,R - 17+ (violence & profanity),Seinen,Historical,#4000,Manga,#2823
723,High School Fleet OVA,OVA,2,7.21,"17,549",24,Action,Production IMS,PG-13 - Teens 13 or older,N/A,Military,#4200,Original,#2824
724,Hunter x Hunter Pilot,OVA,1,7.21,"23,725",47,Action,Studio Pierrot,PG-13 - Teens 13 or older,Shounen,Super Power,#3664,Manga,#2825
725,Huyao Xiao Hongniang,ONA,13,7.21,"37,116",147,Comedy,Haoliners Animation League,PG-13 - Teens 13 or older,N/A,Historical,#2896,Manga,#2826
726,"Inari, Konkon, Koi Iroha.",TV,10,7.21,"142,167",325,Comedy,Production IMS,PG-13 - Teens 13 or older,Seinen,School,#1216,Manga,#2827
727,Kaitou Joker 2nd Season,TV,13,7.21,"5,453",16,Adventure,Shin-Ei Animation,PG - Children,Kids,N/A,#6714,Manga,#2828
728,Kara no Kyoukai 8: Shuushou,Special,1,7.21,"98,917",208,Mystery,ufotable,PG-13 - Teens 13 or older,N/A,N/A,#1620,Light novel,#2829
729,Kiddy Grade,TV,24,7.21,"41,829",238,Action,Gonzo,R+ - Mild Nudity,N/A,Mecha,#2699,Original,#2830
730,Le Chevalier D'Eon,TV,24,7.21,"52,631",210,Mystery,Production I.G,R - 17+ (violence & profanity),Seinen,Historical,#2417,Original,#2831
731,Long Zhi Gu: Poxiao Qibing,Movie,1,7.21,"4,483",24,Action,Mili Pictures,PG-13 - Teens 13 or older,N/A,N/A,#7268,Game,#2832
732,Maison Ikkoku: Kanketsu-hen,Movie,1,7.21,"5,994",4,Comedy,Ajia-Do,PG-13 - Teens 13 or older,Seinen,N/A,#6460,Manga,#2833
733,Mangaka-san to Assistant-san to The Animation Specials,Special,6,7.21,"46,907",25,Comedy,Zexcs,PG-13 - Teens 13 or older,Seinen,Harem,#2557,4-koma manga,#2834
734,Ansatsu Kyoushitsu: Jump Festa 2013 Special,Special,1,7.20,"70,378",434,Action,Brain's Base,PG-13 - Teens 13 or older,Shounen,N/A,#2011,Manga,#2835
735,Area no Kishi,TV,37,7.20,"65,297",196,Comedy,Shin-Ei Animation,PG-13 - Teens 13 or older,Shounen,School,#2130,Manga,#2836
736,D.C.II S.S.: Da Capo II Second Season,TV,13,7.20,"27,888",48,Comedy,feel.,PG-13 - Teens 13 or older,N/A,Harem,#3376,Visual novel,#2837
737,Denki-gai no Honya-san,TV,12,7.20,"115,692",253,Comedy,Shin-Ei Animation,PG-13 - Teens 13 or older,Seinen,N/A,#1417,Manga,#2838
738,Diamond Fusion,Music,1,7.20,"2,059",10,Music,Kamikaze Douga,G - All Ages,N/A,Music,#9291,Game,#2839
739,Digimon Adventure tri. 6: Bokura no Mirai,Movie,1,7.20,"38,378",48,Action,Toei Animation,PG-13 - Teens 13 or older,N/A,N/A,#2842,Original,#2840
740,Dimension W,TV,12,7.20,"268,738",754,Action,Orange,R - 17+ (violence & profanity),Seinen,N/A,#638,Manga,#2841
741,"Donten ni Warau Gaiden: Ouka, Tenbou no Kakehashi",Movie,1,7.20,"7,891",10,Action,Wit Studio,PG-13 - Teens 13 or older,N/A,Historical,#5794,Manga,#2842
742,Doraemon Movie 12: Nobita no Dorabian Nights,Movie,1,7.20,"8,112",4,Adventure,add some,PG - Children,N/A,N/A,#5749,Unknown,#2843
743,Doraemon Movie 29: Shin Nobita no Uchuu Kaitakushi,Movie,1,7.20,"4,520",2,Adventure,Shin-Ei Animation,PG - Children,Kids,N/A,#7274,Unknown,#2844
744,Dororo to Hyakkimaru,TV,26,7.20,"15,112",75,Action,Mushi Production,R - 17+ (violence & profanity),Shounen,N/A,#4467,Manga,#2845
745,Galaxy Angel 4,TV,13,7.20,"7,165",11,Comedy,Madhouse,PG - Children,N/A,N/A,#6041,Game,#2846
746,Ganbarist! Shun,TV,30,7.20,"2,951",13,Comedy,Sunrise,PG-13 - Teens 13 or older,Shounen,N/A,#8350,Manga,#2847
747,GS Mikami,TV,45,7.20,"10,906",34,Comedy,Toei Animation,PG-13 - Teens 13 or older,N/A,N/A,#5086,Manga,#2848
748,Gugure! Kokkuri-san Specials,Special,11,7.20,"13,412",13,Comedy,TMS Entertainment,PG-13 - Teens 13 or older,Shounen,N/A,#4661,4-koma manga,#2849
749,Hentai Ouji to Warawanai Neko.,TV,12,7.20,"400,049","1,544",Comedy,J.C.Staff,PG-13 - Teens 13 or older,N/A,Harem,#403,Light novel,#2850
750,Gundam Build Fighters: GM no Gyakushuu,ONA,1,7.17,"7,752",6,Action,Sunrise,G - All Ages,N/A,Mecha,#5833,Original,#3000
